ipa,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,velaric,tense,long,hitone,hireg
ɮ̰ː,-,-,+,+,-,+,-,-,+,-,+,-,+,-,-,0,0,0,-,-,0,+,0,0
ɬʼ,-,-,+,+,-,+,-,-,-,-,+,+,+,-,-,0,0,0,-,-,0,-,0,0
ɬʼː,-,-,+,+,-,+,-,-,-,-,+,+,+,-,-,0,0,0,-,-,0,+,0,0
ɮ̰ˤ,-,-,+,+,-,+,-,-,+,-,+,-,+,-,-,0,+,+,-,-,0,-,0,0
ɬˤʼ,-,-,+,+,-,+,-,-,-,-,+,+,+,-,-,0,+,+,-,-,0,-,0,0
ɮ̰ʲ,-,-,+,+,-,+,-,-,+,-,+,-,+,-,-,+,0,-,-,-,0,-,0,0
ɮ̰ˠ,-,-,+,+,-,+,-,-,+,-,+,-,+,-,-,+,0,+,-,-,0,-,0,0
ɮ̰ʷ,-,-,+,+,-,+,-,-,+,-,+,-,+,-,-,+,0,+,+,-,0,-,0,0
ɬʲʼ,-,-,+,+,-,+,-,-,-,-,+,+,+,-,-,+,0,-,-,-,0,-,0,0
ɬʼʲ,-,-,+,+,-,+,-,-,-,-,+,+,+,-,-,+,0,-,-,-,0,-,0,0
ɬʷʼ,-,-,+,+,-,+,-,-,-,-,+,+,+,-,-,+,0,+,+,-,0,-,0,0
ɬʼʷ,-,-,+,+,-,+,-,-,-,-,+,+,+,-,-,+,0,+,+,-,0,-,0,0
ɬʷˤʼ,-,-,+,+,-,+,-,-,-,-,+,+,+,-,-,+,+,+,+,-,0,-,0,0
ɮ̤̥,-,-,+,+,-,+,-,-,-,+,-,-,+,-,-,0,0,0,-,-,0,-,0,0
ɮ̤,-,-,+,+,-,+,-,-,+,+,-,-,+,-,-,0,0,0,-,-,0,-,0,0
ɮ̤ː,-,-,+,+,-,+,-,-,+,+,-,-,+,-,-,0,0,0,-,-,0,+,0,0
ɬ̠ʰ,-,-,+,+,-,+,-,-,-,+,-,+,+,-,-,0,0,0,-,-,0,-,0,0
ɬʰ,-,-,+,+,-,+,-,-,-,+,-,+,+,-,-,0,0,0,-,-,0,-,0,0
ɬʰː,-,-,+,+,-,+,-,-,-,+,-,+,+,-,-,0,0,0,-,-,0,+,0,0
ɮ̤ˤ,-,-,+,+,-,+,-,-,+,+,-,-,+,-,-,0,+,+,-,-,0,-,0,0
ɬʰˤ,-,-,+,+,-,+,-,-,-,+,-,+,+,-,-,0,+,+,-,-,0,-,0,0
ɬˤʰ,-,-,+,+,-,+,-,-,-,+,-,+,+,-,-,0,+,+,-,-,0,-,0,0
ɮ̤ʲ,-,-,+,+,-,+,-,-,+,+,-,-,+,-,-,+,0,-,-,-,0,-,0,0
ɮ̤ˠ,-,-,+,+,-,+,-,-,+,+,-,-,+,-,-,+,0,+,-,-,0,-,0,0
ɮ̤ʷ,-,-,+,+,-,+,-,-,+,+,-,-,+,-,-,+,0,+,+,-,0,-,0,0
ɬʰʲ,-,-,+,+,-,+,-,-,-,+,-,+,+,-,-,+,0,-,-,-,0,-,0,0
ɬʲʰ,-,-,+,+,-,+,-,-,-,+,-,+,+,-,-,+,0,-,-,-,0,-,0,0
ɬʰᶣ,-,-,+,+,-,+,-,-,-,+,-,+,+,-,-,+,0,-,+,-,0,-,0,0
ɬʰˠ,-,-,+,+,-,+,-,-,-,+,-,+,+,-,-,+,0,+,-,-,0,-,0,0
ɬʰʷ,-,-,+,+,-,+,-,-,-,+,-,+,+,-,-,+,0,+,+,-,0,-,0,0
ɬʲʷʰ,-,-,+,+,-,+,-,-,-,+,-,+,+,-,-,+,0,+,+,-,0,-,0,0
ɬʷʰ,-,-,+,+,-,+,-,-,-,+,-,+,+,-,-,+,0,+,+,-,0,-,0,0
ɬʷˠʰ,-,-,+,+,-,+,-,-,-,+,-,+,+,-,-,+,0,+,+,-,0,-,0,0
ɬʷʰː,-,-,+,+,-,+,-,-,-,+,-,+,+,-,-,+,0,+,+,-,0,+,0,0
ɬʷˤʰ,-,-,+,+,-,+,-,-,-,+,-,+,+,-,-,+,+,+,+,-,0,-,0,0
ʁ̃,-,-,+,+,-,-,+,+,+,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ʁ̃ː,-,-,+,+,-,-,+,+,+,-,-,-,-,0,-,-,-,+,-,-,0,+,0,0
ʁ̃ˑ,-,-,+,+,-,-,+,+,+,-,-,-,-,0,-,-,-,+,-,-,0,+,0,0
ʐ̃,-,-,+,+,-,-,+,+,+,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ʐ̃ː,-,-,+,+,-,-,+,+,+,-,-,-,+,-,-,-,-,-,-,-,0,+,0,0
ʐ̃ˑ,-,-,+,+,-,-,+,+,+,-,-,-,+,-,-,-,-,-,-,-,0,+,0,0
ʒ̃,-,-,+,+,-,-,+,+,+,-,-,-,+,+,-,-,-,-,-,-,0,-,0,0
ʒ̃ː,-,-,+,+,-,-,+,+,+,-,-,-,+,+,-,-,-,-,-,-,0,+,0,0
ʒ̃ˑ,-,-,+,+,-,-,+,+,+,-,-,-,+,+,-,-,-,-,-,-,0,+,0,0
z̃,-,-,+,+,-,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
z̃ː,-,-,+,+,-,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,0,+,0,0
z̃ˑ,-,-,+,+,-,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,0,+,0,0
ð̃,-,-,+,+,-,-,+,-,+,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
ð̃ː,-,-,+,+,-,-,+,-,+,-,-,+,+,+,-,-,-,-,-,-,0,+,0,0
ð̃ˑ,-,-,+,+,-,-,+,-,+,-,-,+,+,+,-,-,-,-,-,-,0,+,0,0
ṽ,-,-,+,+,-,-,+,+,+,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
β̃,-,-,+,+,-,-,+,-,+,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
ṽː,-,-,+,+,-,-,+,+,+,-,-,+,-,0,+,-,-,-,-,-,0,+,0,0
β̃ː,-,-,+,+,-,-,+,-,+,-,-,+,-,0,+,-,-,-,-,-,0,+,0,0
ṽˑ,-,-,+,+,-,-,+,+,+,-,-,+,-,0,+,-,-,-,-,-,0,+,0,0
β̃ˑ,-,-,+,+,-,-,+,-,+,-,-,+,-,0,+,-,-,-,-,-,0,+,0,0
ʁ̃ˤ,-,-,+,+,-,-,+,+,+,-,-,-,-,0,-,-,+,+,-,-,0,-,0,0
ʕ̃ˤ,-,-,+,+,-,-,+,-,+,-,-,-,-,0,-,-,+,+,-,-,0,-,0,0
ʕ̃,-,-,+,+,-,-,+,-,+,-,-,-,-,0,-,-,+,+,-,-,0,-,0,0
ʕ̃ː,-,-,+,+,-,-,+,-,+,-,-,-,-,0,-,-,+,+,-,-,0,+,0,0
ʕ̃ˑ,-,-,+,+,-,-,+,-,+,-,-,-,-,0,-,-,+,+,-,-,0,+,0,0
ʐ̃ˤ,-,-,+,+,-,-,+,+,+,-,-,-,+,-,-,-,+,+,-,-,0,-,0,0
ʒ̃ˤ,-,-,+,+,-,-,+,+,+,-,-,-,+,+,-,-,+,+,-,-,0,-,0,0
z̃ˤ,-,-,+,+,-,-,+,+,+,-,-,+,+,-,-,-,+,+,-,-,0,-,0,0
ð̃ˤ,-,-,+,+,-,-,+,-,+,-,-,+,+,+,-,-,+,+,-,-,0,-,0,0
ṽˤ,-,-,+,+,-,-,+,+,+,-,-,+,-,0,+,-,+,+,-,-,0,-,0,0
β̃ˤ,-,-,+,+,-,-,+,-,+,-,-,+,-,0,+,-,+,+,-,-,0,-,0,0
ʝ̃,-,-,+,+,-,-,+,-,+,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ʝ̃ː,-,-,+,+,-,-,+,-,+,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
ʝ̃ˑ,-,-,+,+,-,-,+,-,+,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
ɣ̃,-,-,+,+,-,-,+,-,+,-,-,-,-,0,-,+,-,+,-,-,0,-,0,0
ɣ̃ː,-,-,+,+,-,-,+,-,+,-,-,-,-,0,-,+,-,+,-,-,0,+,0,0
ɣ̃ˑ,-,-,+,+,-,-,+,-,+,-,-,-,-,0,-,+,-,+,-,-,0,+,0,0
ʑ̃,-,-,+,+,-,-,+,+,+,-,-,-,+,+,-,+,-,-,-,-,0,-,0,0
ʑ̃ː,-,-,+,+,-,-,+,+,+,-,-,-,+,+,-,+,-,-,-,-,0,+,0,0
ʑ̃ˑ,-,-,+,+,-,-,+,+,+,-,-,-,+,+,-,+,-,-,-,-,0,+,0,0
ɣ̃ˤ,-,-,+,+,-,-,+,-,+,-,-,-,-,0,-,+,+,+,-,-,0,-,0,0
ʝ̃ˤ,-,-,+,+,-,-,+,-,+,-,-,-,-,0,-,+,+,+,-,-,0,-,0,0
ʑ̃ˤ,-,-,+,+,-,-,+,+,+,-,-,-,+,+,-,+,+,+,-,-,0,-,0,0
ʁ̰̃,-,-,+,+,-,-,+,+,+,-,+,-,-,0,-,-,-,+,-,-,0,-,0,0
ʐ̰̃,-,-,+,+,-,-,+,+,+,-,+,-,+,-,-,-,-,-,-,-,0,-,0,0
ʒ̰̃,-,-,+,+,-,-,+,+,+,-,+,-,+,+,-,-,-,-,-,-,0,-,0,0
z̰̃,-,-,+,+,-,-,+,+,+,-,+,+,+,-,-,-,-,-,-,-,0,-,0,0
ð̰̃,-,-,+,+,-,-,+,-,+,-,+,+,+,+,-,-,-,-,-,-,0,-,0,0
ṽ̰,-,-,+,+,-,-,+,+,+,-,+,+,-,0,+,-,-,-,-,-,0,-,0,0
β̰̃,-,-,+,+,-,-,+,-,+,-,+,+,-,0,+,-,-,-,-,-,0,-,0,0
ʕ̰̃,-,-,+,+,-,-,+,-,+,-,+,-,-,0,-,-,+,+,-,-,0,-,0,0
ʝ̰̃,-,-,+,+,-,-,+,-,+,-,+,-,-,0,-,+,-,-,-,-,0,-,0,0
ɣ̰̃,-,-,+,+,-,-,+,-,+,-,+,-,-,0,-,+,-,+,-,-,0,-,0,0
ʑ̰̃,-,-,+,+,-,-,+,+,+,-,+,-,+,+,-,+,-,-,-,-,0,-,0,0
ɦ̃,-,-,+,+,-,-,+,-,+,+,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ɦ̃ː,-,-,+,+,-,-,+,-,+,+,-,-,-,0,-,-,-,+,-,-,0,+,0,0
ɦ̃ˑ,-,-,+,+,-,-,+,-,+,+,-,-,-,0,-,-,-,+,-,-,0,+,0,0
ɦ̃ˤ,-,-,+,+,-,-,+,-,+,+,-,-,-,0,-,-,+,+,-,-,0,-,0,0
ɦ̰̃,-,-,+,+,-,-,+,-,+,+,+,-,-,0,-,-,-,+,-,-,0,-,0,0
ɮ̃,-,-,+,+,-,+,+,-,+,-,-,-,+,-,-,0,0,0,-,-,0,-,0,0
ɮ̃ː,-,-,+,+,-,+,+,-,+,-,-,-,+,-,-,0,0,0,-,-,0,+,0,0
ɮ̃ˑ,-,-,+,+,-,+,+,-,+,-,-,-,+,-,-,0,0,0,-,-,0,+,0,0
ɮ̃ˤ,-,-,+,+,-,+,+,-,+,-,-,-,+,-,-,0,+,+,-,-,0,-,0,0
ɮ̰̃,-,-,+,+,-,+,+,-,+,-,+,-,+,-,-,0,0,0,-,-,0,-,0,0
ɱ̠̊,-,+,+,-,0,-,+,-,-,-,-,+,-,0,+,0,0,0,-,-,0,-,0,0
ɱ̥,-,+,+,-,0,-,+,-,-,-,-,+,-,0,+,0,0,0,-,-,0,-,0,0
ɱ̊,-,+,+,-,0,-,+,-,-,-,-,+,-,0,+,0,0,0,-,-,0,-,0,0
ɱ̟,-,+,+,-,0,-,+,-,+,-,-,+,-,0,+,0,0,0,-,-,0,-,0,0
ɱ̠,-,+,+,-,0,-,+,-,+,-,-,+,-,0,+,0,0,0,-,-,0,-,0,0
ɱ,-,+,+,-,0,-,+,-,+,-,-,+,-,0,+,0,0,0,-,-,0,-,0,0
ɱ̥ː,-,+,+,-,0,-,+,-,-,-,-,+,-,0,+,0,0,0,-,-,0,+,0,0
ɱ̟ː,-,+,+,-,0,-,+,-,+,-,-,+,-,0,+,0,0,0,-,-,0,+,0,0
ɱː,-,+,+,-,0,-,+,-,+,-,-,+,-,0,+,0,0,0,-,-,0,+,0,0
ɱˑ,-,+,+,-,0,-,+,-,+,-,-,+,-,0,+,0,0,0,-,-,0,+,0,0
ɱ̥ˤ,-,+,+,-,0,-,+,-,-,-,-,+,-,0,+,0,+,+,-,-,0,-,0,0
ɱˤ,-,+,+,-,0,-,+,-,+,-,-,+,-,0,+,0,+,+,-,-,0,-,0,0
ɱˤː,-,+,+,-,0,-,+,-,+,-,-,+,-,0,+,0,+,+,-,-,0,+,0,0
ɱːˤ,-,+,+,-,0,-,+,-,+,-,-,+,-,0,+,0,+,+,-,-,0,+,0,0
ɱ̥ʲ,-,+,+,-,0,-,+,-,-,-,-,+,-,0,+,+,0,-,-,-,0,-,0,0
ɱʲ,-,+,+,-,0,-,+,-,+,-,-,+,-,0,+,+,0,-,-,-,0,-,0,0
ɱʲː,-,+,+,-,0,-,+,-,+,-,-,+,-,0,+,+,0,-,-,-,0,+,0,0
ɱːʲ,-,+,+,-,0,-,+,-,+,-,-,+,-,0,+,+,0,-,-,-,0,+,0,0
ɱ̥ˠ,-,+,+,-,0,-,+,-,-,-,-,+,-,0,+,+,0,+,-,-,0,-,0,0
ɱˠ,-,+,+,-,0,-,+,-,+,-,-,+,-,0,+,+,0,+,-,-,0,-,0,0
ɱːˠ,-,+,+,-,0,-,+,-,+,-,-,+,-,0,+,+,0,+,-,-,0,+,0,0
ɱ̥ʷ,-,+,+,-,0,-,+,-,-,-,-,+,-,0,+,+,0,+,+,-,0,-,0,0
ɱʲʷ,-,+,+,-,0,-,+,-,+,-,-,+,-,0,+,+,0,+,+,-,0,-,0,0
ɱ̠ʷ,-,+,+,-,0,-,+,-,+,-,-,+,-,0,+,+,0,+,+,-,0,-,0,0
ɱʷ,-,+,+,-,0,-,+,-,+,-,-,+,-,0,+,+,0,+,+,-,0,-,0,0
ɱʷˠ,-,+,+,-,0,-,+,-,+,-,-,+,-,0,+,+,0,+,+,-,0,-,0,0
ɱʷː,-,+,+,-,0,-,+,-,+,-,-,+,-,0,+,+,0,+,+,-,0,+,0,0
ɱːʷ,-,+,+,-,0,-,+,-,+,-,-,+,-,0,+,+,0,+,+,-,0,+,0,0
ɱʷˤ,-,+,+,-,0,-,+,-,+,-,-,+,-,0,+,+,+,+,+,-,0,-,0,0
ɱ̰,-,+,+,-,0,-,+,-,+,-,+,+,-,0,+,0,0,0,-,-,0,-,0,0
ɱ̰ː,-,+,+,-,0,-,+,-,+,-,+,+,-,0,+,0,0,0,-,-,0,+,0,0
ɱ̰ˤ,-,+,+,-,0,-,+,-,+,-,+,+,-,0,+,0,+,+,-,-,0,-,0,0
ɱ̰ʲ,-,+,+,-,0,-,+,-,+,-,+,+,-,0,+,+,0,-,-,-,0,-,0,0
ɱ̰ˠ,-,+,+,-,0,-,+,-,+,-,+,+,-,0,+,+,0,+,-,-,0,-,0,0
ɱ̰ʷ,-,+,+,-,0,-,+,-,+,-,+,+,-,0,+,+,0,+,+,-,0,-,0,0
ɱ̤̥,-,+,+,-,0,-,+,-,-,+,-,+,-,0,+,0,0,0,-,-,0,-,0,0
ɱ̤,-,+,+,-,0,-,+,-,+,+,-,+,-,0,+,0,0,0,-,-,0,-,0,0
ɱ̠ʰ,-,+,+,-,0,-,+,-,+,+,-,+,-,0,+,0,0,0,-,-,0,-,0,0
ɱʰ,-,+,+,-,0,-,+,-,+,+,-,+,-,0,+,0,0,0,-,-,0,-,0,0
ɱʰː,-,+,+,-,0,-,+,-,+,+,-,+,-,0,+,0,0,0,-,-,0,+,0,0
ɱ̤ː,-,+,+,-,0,-,+,-,+,+,-,+,-,0,+,0,0,0,-,-,0,+,0,0
ɱʰˤ,-,+,+,-,0,-,+,-,+,+,-,+,-,0,+,0,+,+,-,-,0,-,0,0
ɱˤʰ,-,+,+,-,0,-,+,-,+,+,-,+,-,0,+,0,+,+,-,-,0,-,0,0
ɱ̤ˤ,-,+,+,-,0,-,+,-,+,+,-,+,-,0,+,0,+,+,-,-,0,-,0,0
ɱʰʲ,-,+,+,-,0,-,+,-,+,+,-,+,-,0,+,+,0,-,-,-,0,-,0,0
ɱʲʰ,-,+,+,-,0,-,+,-,+,+,-,+,-,0,+,+,0,-,-,-,0,-,0,0
ɱ̤ʲ,-,+,+,-,0,-,+,-,+,+,-,+,-,0,+,+,0,-,-,-,0,-,0,0
ɱʰˠ,-,+,+,-,0,-,+,-,+,+,-,+,-,0,+,+,0,+,-,-,0,-,0,0
ɱ̤ˠ,-,+,+,-,0,-,+,-,+,+,-,+,-,0,+,+,0,+,-,-,0,-,0,0
ɱʰʷ,-,+,+,-,0,-,+,-,+,+,-,+,-,0,+,+,0,+,+,-,0,-,0,0
ɱʲʷʰ,-,+,+,-,0,-,+,-,+,+,-,+,-,0,+,+,0,+,+,-,0,-,0,0
ɱʷʰ,-,+,+,-,0,-,+,-,+,+,-,+,-,0,+,+,0,+,+,-,0,-,0,0
ɱ̤ʷ,-,+,+,-,0,-,+,-,+,+,-,+,-,0,+,+,0,+,+,-,0,-,0,0
ɱʷˠʰ,-,+,+,-,0,-,+,-,+,+,-,+,-,0,+,+,0,+,+,-,0,-,0,0
ɱʷʰː,-,+,+,-,0,-,+,-,+,+,-,+,-,0,+,+,0,+,+,-,0,+,0,0
ɱʷˤʰ,-,+,+,-,0,-,+,-,+,+,-,+,-,0,+,+,+,+,+,-,0,-,0,0
ɴ̠̊,-,+,+,-,-,-,+,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ɴ̥,-,+,+,-,-,-,+,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ɴ̊,-,+,+,-,-,-,+,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ɴ̟,-,+,+,-,-,-,+,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ɴ̠,-,+,+,-,-,-,+,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ɴ,-,+,+,-,-,-,+,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ɴ̥ː,-,+,+,-,-,-,+,-,-,-,-,-,-,0,-,-,-,+,-,-,0,+,0,0
ɴ̟ː,-,+,+,-,-,-,+,-,+,-,-,-,-,0,-,-,-,+,-,-,0,+,0,0
ɴː,-,+,+,-,-,-,+,-,+,-,-,-,-,0,-,-,-,+,-,-,0,+,0,0
ɴˑ,-,+,+,-,-,-,+,-,+,-,-,-,-,0,-,-,-,+,-,-,0,+,0,0
ɳ̠̊,-,+,+,-,-,-,+,-,-,-,-,-,+,0,-,-,-,-,-,-,0,-,0,0
ɳ̥,-,+,+,-,-,-,+,-,-,-,-,-,+,0,-,-,-,-,-,-,0,-,0,0
ɳ̊,-,+,+,-,-,-,+,-,-,-,-,-,+,0,-,-,-,-,-,-,0,-,0,0
ɳ̟,-,+,+,-,-,-,+,-,+,-,-,-,+,0,-,-,-,-,-,-,0,-,0,0
ɳ̠,-,+,+,-,-,-,+,-,+,-,-,-,+,0,-,-,-,-,-,-,0,-,0,0
ɳ,-,+,+,-,-,-,+,-,+,-,-,-,+,0,-,-,-,-,-,-,0,-,0,0
ɳ̥ː,-,+,+,-,-,-,+,-,-,-,-,-,+,0,-,-,-,-,-,-,0,+,0,0
ɳ̟ː,-,+,+,-,-,-,+,-,+,-,-,-,+,0,-,-,-,-,-,-,0,+,0,0
ɳː,-,+,+,-,-,-,+,-,+,-,-,-,+,0,-,-,-,-,-,-,0,+,0,0
ɳˑ,-,+,+,-,-,-,+,-,+,-,-,-,+,0,-,-,-,-,-,-,0,+,0,0
ɳ̺,-,+,+,-,-,-,+,-,+,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ɳ̻,-,+,+,-,-,-,+,-,+,-,-,-,+,+,-,-,-,-,-,-,0,-,0,0
n̠̊,-,+,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
n̥,-,+,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
n̊,-,+,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
n̟,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
n̠,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
n,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
n̺,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
n̪̺,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
n̥ː,-,+,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,0,+,0,0
n̟ː,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,-,-,-,-,-,0,+,0,0
nː,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,-,-,-,-,-,0,+,0,0
nˑ,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,-,-,-,-,-,0,+,0,0
n̪̠̊,-,+,+,-,-,-,+,-,-,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
n̪̊,-,+,+,-,-,-,+,-,-,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
n̪̪̊,-,+,+,-,-,-,+,-,-,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
n̪̥,-,+,+,-,-,-,+,-,-,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
n̪̊,-,+,+,-,-,-,+,-,-,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
n̪̟,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
n̪̠,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
n̪,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
n̪̪,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
n̪,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
n̻,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
n̪̻,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
n̪̥ː,-,+,+,-,-,-,+,-,-,-,-,+,+,+,-,-,-,-,-,-,0,+,0,0
n̪̟ː,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,-,-,-,-,-,0,+,0,0
n̪ː,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,-,-,-,-,-,0,+,0,0
n̪ˑ,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,-,-,-,-,-,0,+,0,0
m̠̊,-,+,+,-,-,-,+,-,-,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
m̥,-,+,+,-,-,-,+,-,-,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
m̊,-,+,+,-,-,-,+,-,-,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
m̟,-,+,+,-,-,-,+,-,+,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
m̠,-,+,+,-,-,-,+,-,+,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
m,-,+,+,-,-,-,+,-,+,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
m̥ː,-,+,+,-,-,-,+,-,-,-,-,+,-,0,+,-,-,-,-,-,0,+,0,0
m̟ː,-,+,+,-,-,-,+,-,+,-,-,+,-,0,+,-,-,-,-,-,0,+,0,0
mː,-,+,+,-,-,-,+,-,+,-,-,+,-,0,+,-,-,-,-,-,0,+,0,0
mˑ,-,+,+,-,-,-,+,-,+,-,-,+,-,0,+,-,-,-,-,-,0,+,0,0
n̼,-,+,+,-,-,-,+,-,+,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
n̪̼,-,+,+,-,-,-,+,-,+,-,-,+,+,+,+,-,-,-,-,-,0,-,0,0
ɴ̥ˤ,-,+,+,-,-,-,+,-,-,-,-,-,-,0,-,-,+,+,-,-,0,-,0,0
ɴˤ,-,+,+,-,-,-,+,-,+,-,-,-,-,0,-,-,+,+,-,-,0,-,0,0
ɴˤː,-,+,+,-,-,-,+,-,+,-,-,-,-,0,-,-,+,+,-,-,0,+,0,0
ɴːˤ,-,+,+,-,-,-,+,-,+,-,-,-,-,0,-,-,+,+,-,-,0,+,0,0
ɳ̥ˤ,-,+,+,-,-,-,+,-,-,-,-,-,+,0,-,-,+,+,-,-,0,-,0,0
ɳˤ,-,+,+,-,-,-,+,-,+,-,-,-,+,0,-,-,+,+,-,-,0,-,0,0
ɳˤː,-,+,+,-,-,-,+,-,+,-,-,-,+,0,-,-,+,+,-,-,0,+,0,0
ɳːˤ,-,+,+,-,-,-,+,-,+,-,-,-,+,0,-,-,+,+,-,-,0,+,0,0
n̥ˤ,-,+,+,-,-,-,+,-,-,-,-,+,+,-,-,-,+,+,-,-,0,-,0,0
nˤ,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,-,+,+,-,-,0,-,0,0
nˤː,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,-,+,+,-,-,0,+,0,0
nːˤ,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,-,+,+,-,-,0,+,0,0
n̪̥ˤ,-,+,+,-,-,-,+,-,-,-,-,+,+,+,-,-,+,+,-,-,0,-,0,0
n̪ˤ,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,-,+,+,-,-,0,-,0,0
n̪ˤː,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,-,+,+,-,-,0,+,0,0
n̪ːˤ,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,-,+,+,-,-,0,+,0,0
m̥ˤ,-,+,+,-,-,-,+,-,-,-,-,+,-,0,+,-,+,+,-,-,0,-,0,0
mˤ,-,+,+,-,-,-,+,-,+,-,-,+,-,0,+,-,+,+,-,-,0,-,0,0
mˤː,-,+,+,-,-,-,+,-,+,-,-,+,-,0,+,-,+,+,-,-,0,+,0,0
mːˤ,-,+,+,-,-,-,+,-,+,-,-,+,-,0,+,-,+,+,-,-,0,+,0,0
ɲ̠̊,-,+,+,-,-,-,+,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ɲ̥,-,+,+,-,-,-,+,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ɲ̊,-,+,+,-,-,-,+,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ŋ̥ʲ,-,+,+,-,-,-,+,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ɴ̥ʲ,-,+,+,-,-,-,+,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ɲ̥ʲ,-,+,+,-,-,-,+,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ɲ̟,-,+,+,-,-,-,+,-,+,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ɲ̠,-,+,+,-,-,-,+,-,+,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ŋʲ,-,+,+,-,-,-,+,-,+,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ɴʲ,-,+,+,-,-,-,+,-,+,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
